,anio,cesareas,establecimiento_nombre,establecimiento_dependencia,establecimiento_region_sanitaria,establecimiento_municipio_id,establecimiento_municipio_nombre,partos,latitud,longitud
121,2015,211,Hospital Subzonal General Doctor Capredoni,municipal,IX,60105,Bolívar,379,-36.2982217499893,-61.1496836148108
122,2016,207,Hospital Subzonal General Doctor Capredoni,Municipal,IX,60105,Bolívar,376,-36.2982217499893,-61.1496836148108
123,2015,0,Hospital Municipal  Pirovano,municipal,IX,60105,Bolívar,0,-36.2982217499893,-61.1496836148108
124,2015,0,Hospital Juana G. de Miguens,municipal,IX,60105,Bolívar,0,-36.2982217499893,-61.1496836148108
125,2014,163,Hospital San Luis,municipal,X,60112,Bragado,351,-35.0610928531071,-60.6042295511118
126,2014,0,Unidad Sanitaria O´Briend,municipal,X,60112,Bragado,0,-35.0610928531071,-60.6042295511118
127,2015,172,Hospital San Luis,municipal,X,60112,Bragado,303,-35.0610928531071,-60.6042295511118
128,2017,167,Hospital Municipal San Luis,municipal,X,60112,Bragado,313,-35.0610928531071,-60.6042295511118
129,2016,165,Hospital San Luis,Municipal,X,60112,Bragado,320,-35.0610928531071,-60.6042295511118
130,2015,0,Unidad Sanitaria O´Briend,municipal,X,60112,Bragado,0,-35.0610928531071,-60.6042295511118
131,2014,140,Hospital Municipal Doctor Francisco Caram,municipal,XI,60119,Brandsen,371,-35.2221104711751,-58.1760719473086
132,2015,113,Hospital Municipal Doctor Francisco Caram,municipal,XI,60119,Brandsen,313,-35.2221104711751,-58.1760719473086
133,2017,75,Hospital Municipal Doctor Francisco Caram,municipal,XI,60119,Brandsen,248,-35.2221104711751,-58.1760719473086
134,2016,69,Hospital Municipal Doctor Francisco Caram,Municipal,XI,60119,Brandsen,233,-35.2221104711751,-58.1760719473086
135,2014,328,Unidad Hospitalaria San José,municipal,V,60126,Campana,793,-34.1381957287912,-58.8830222693034
136,2015,369,Unidad Hospitalaria San José,municipal,V,60126,Campana,823,-34.1381957287912,-58.8830222693034
137,2016,335,Unidad Hospitalaria San José,Municipal,V,60126,Campana,781,-34.1381957287912,-58.8830222693034
138,2017,307,Hospital San José,municipal,V,60126,Campana,758,-34.1381957287912,-58.8830222693034
139,2014,195,Ente Descentralizado Hospital Doctor Angel Marzeti,municipal,XI,60134,Cañuelas,710,-35.1450252367714,-58.6907790273655
140,2014,0,Hospital General Mitre,municipal,XI,60134,Cañuelas,0,-35.1450252367714,-58.6907790273655
141,2017,218,Ente Descentralizado Hospital Doctor Angel Marzetti,municipal,XI,60134,Cañuelas,624,-35.1450252367714,-58.6907790273655
142,2016,197,Ente Descentralizado Hospital Doctor Angel Marzeti,Municipal,XI,60134,Cañuelas,661,-35.1450252367714,-58.6907790273655
143,2015,175,Ente Descentralizado Hospital Doctor Angel Marzeti,municipal,XI,60134,Cañuelas,618,-35.1450252367714,-58.6907790273655
144,2015,0,Hospital General Mitre,municipal,XI,60134,Cañuelas,0,-35.1450252367714,-58.6907790273655
145,2014,202,Hospital Municipal San Carlos,municipal,IV,60140,Capitán Sarmiento,269,-34.1497065018665,-59.8548037960898
146,2016,184,Hospital Municipal San Carlos,Municipal,IV,60140,Capitán Sarmiento,244,-34.1497065018665,-59.8548037960898
147,2015,162,Hospital Municipal San Carlos,municipal,IV,60140,Capitán Sarmiento,237,-34.1497065018665,-59.8548037960898
148,2017,126,Hospital Municipal San Carlos,municipal,IV,60140,Capitán Sarmiento,170,-34.1497065018665,-59.8548037960898
149,2014,162,Hospital Municipal Doctor Julio Ramos,municipal,II,60147,Carlos Casares,286,-35.7496551260772,-61.3737522686863
150,2014,0,Hospital Local Esp. Materno Infantil,municipal,II,60147,Carlos Casares,0,-35.7496551260772,-61.3737522686863
151,2016,166,Hospital Municipal Doctor Julio Ramos,Municipal,II,60147,Carlos Casares,264,-35.7496551260772,-61.3737522686863
152,2017,152,Hospital Municipal Doctor Julio F. Ramos,municipal,II,60147,Carlos Casares,247,-35.7496551260772,-61.3737522686863
153,2015,149,Hospital Municipal Doctor Julio Ramos,municipal,II,60147,Carlos Casares,239,-35.7496551260772,-61.3737522686863
154,2015,0,Hospital Local Esp. Materno Infantil,municipal,II,60147,Carlos Casares,0,-35.7496551260772,-61.3737522686863
155,2014,69,Hospital Municipal Garré,municipal,II,60154,Carlos Tejedor,98,-35.379488920773,-62.4295611893429
156,2014,20,Hospital Municipal J. Ressano,municipal,II,60154,Carlos Tejedor,47,-35.379488920773,-62.4295611893429
157,2016,71,Hospital Municipal Garré,Municipal,II,60154,Carlos Tejedor,91,-35.379488920773,-62.4295611893429
158,2015,64,Hospital Municipal Garré,municipal,II,60154,Carlos Tejedor,83,-35.379488920773,-62.4295611893429
159,2017,59,Hospital Municipal Garré,municipal,II,60154,Carlos Tejedor,85,-35.379488920773,-62.4295611893429
160,2015,24,Hospital Municipal J. Ressano,municipal,II,60154,Carlos Tejedor,44,-35.379488920773,-62.4295611893429
161,2017,17,Hospital Municipal J. H. Ressano,municipal,II,60154,Carlos Tejedor,29,-35.379488920773,-62.4295611893429
162,2016,14,Hospital Municipal J. Ressano,Municipal,II,60154,Carlos Tejedor,29,-35.379488920773,-62.4295611893429
163,2014,99,Hospital Local. General Ntra. Sra. del Carmen,provincial,IV,60161,Carmen de Areco,169,-34.4067983092213,-59.8842434040917
164,2015,112,Hospital Local. General Ntra. Sra. del Carmen,provincial,IV,60161,Carmen de Areco,175,-34.4067983092213,-59.8842434040917
165,2016,112,Hospital Local. General Ntra. Sra. del Carmen,Provincial,IV,60161,Carmen de Areco,167,-34.4067983092213,-59.8842434040917
166,2017,94,Hospital Local General Ntra. Sra. del Carmen,Provincial,IV,60161,Carmen de Areco,160,-34.4067983092213,-59.8842434040917
167,2014,37,Hospital Local DoctorRamón Carrillo,municipal,XI,60168,Castelli,53,-36.0416694003038,-57.6570625693146
168,2015,48,Hospital Local DoctorRamón Carrillo,municipal,XI,60168,Castelli,48,-36.0416694003038,-57.6570625693146
169,2016,30,Hospital Local DoctorRamón Carrillo,Municipal,XI,60168,Castelli,34,-36.0416694003038,-57.6570625693146
170,2017,12,Hospital Local DoctorRamón Carrillo,municipal,XI,60168,Castelli,16,-36.0416694003038,-57.6570625693146
171,2015,349,Hospital Subzonal Nstra. Sra. del Carmen,municipal,III,60210,Chacabuco,488,-34.6184039263126,-60.3539279007252
172,2014,366,Hospital Subzonal Nstra. Sra. del Carmen,municipal,III,60210,Chacabuco,545,-34.6184039263126,-60.3539279007252
173,2014,0,Hospital Local Tomás Keating,municipal,III,60210,Chacabuco,0,-34.6184039263126,-60.3539279007252
174,2016,314,Hospital Subzonal Nstra. Sra. del Carmen,Municipal,III,60210,Chacabuco,446,-34.6184039263126,-60.3539279007252
175,2014,0,Hospital Local General Angel Rossi y C. Z. de Rossi,municipal,III,60210,Chacabuco,0,-34.6184039263126,-60.3539279007252
176,2017,306,Hospital Municipal Ntra. Sra. del Carmen,municipal,III,60210,Chacabuco,426,-34.6184039263126,-60.3539279007252
177,2015,0,Hospital Local Tomás Keating,municipal,III,60210,Chacabuco,0,-34.6184039263126,-60.3539279007252
178,2015,0,Hospital Local General Angel Rossi y C. Z. de Rossi,municipal,III,60210,Chacabuco,0,-34.6184039263126,-60.3539279007252
179,2014,166,Hospital San Vicente de Paul,municipal,XI,60218,Chascomús,294,-35.6187689428966,-57.9043202817549
180,2016,202,Hospital San Vicente de Paul,Municipal,XI,60218,Chascomús,355,-35.6187689428966,-57.9043202817549
181,2015,188,Hospital San Vicente de Paul,municipal,XI,60218,Chascomús,321,-35.6187689428966,-57.9043202817549
182,2017,177,Hospital San Vicente de Paul,municipal,XI,60218,Chascomús,297,-35.6187689428966,-57.9043202817549
183,2014,262,Hospital Municipal de Chivilcoy,municipal,X,60224,Chivilcoy,530,-34.9157089757004,-59.9584822196811
184,2017,298,Hospital Municipal de Chivilcoy,municipal,X,60224,Chivilcoy,501,-34.9157089757004,-59.9584822196811
185,2014,0,Unidad Sanitaria Y Hogar San José de Moquehuá,municipal,X,60224,Chivilcoy,0,-34.9157089757004,-59.9584822196811
186,2015,266,Hospital Municipal de Chivilcoy,municipal,X,60224,Chivilcoy,508,-34.9157089757004,-59.9584822196811
187,2016,246,Hospital Municipal de Chivilcoy,Municipal,X,60224,Chivilcoy,436,-34.9157089757004,-59.9584822196811
188,2015,0,Unidad Sanitaria Y Hogar San José de Moquehuá,municipal,X,60224,Chivilcoy,0,-34.9157089757004,-59.9584822196811
189,2014,159,Hospital Municipal de Colón,municipal,IV,60175,Colón,230,-33.8860220920301,-61.063367492517
190,2015,145,Hospital Municipal de Colón,municipal,IV,60175,Colón,205,-33.8860220920301,-61.063367492517
191,2016,136,Hospital Municipal de Colón,Municipal,IV,60175,Colón,210,-33.8860220920301,-61.063367492517
192,2017,130,Hospital Municipal de Colón,municipal,IV,60175,Colón,203,-33.8860220920301,-61.063367492517
193,2014,104,Hospital Local General Eva Perón,municipal,I,60182,Coronel de Marina Leonardo Rosales,284,-38.8488346485235,-61.8360446581448
194,2015,74,Hospital Local General Eva Perón,municipal,I,60182,Coronel de Marina Leonardo Rosales,209,-38.8488346485235,-61.8360446581448
195,2017,59,Hospital Municipal Eva Perón,municipal,I,60182,Coronel de Marina Leonardo Rosales,173,-38.8488346485235,-61.8360446581448
196,2016,49,Hospital Local General Eva Perón,Municipal,I,60182,Coronel de Marina Leonardo Rosales,194,-38.8488346485235,-61.8360446581448
197,2014,61,Hospital Local Municipal María Eva Duarte de Perón,municipal,I,60189,Coronel Dorrego,80,-38.670481146508,-61.0956539726774
198,2014,0,Hospital Municipal de Oriente,municipal,I,60189,Coronel Dorrego,0,-38.670481146508,-61.0956539726774
199,2017,53,Hospital Local General María Eva Duarte de Perón,municipal,I,60189,Coronel Dorrego,76,-38.670481146508,-61.0956539726774
200,2016,52,Hospital Local Municipal María Eva Duarte de Perón,Municipal,I,60189,Coronel Dorrego,75,-38.670481146508,-61.0956539726774
201,2015,37,Hospital Local Municipal María Eva Duarte de Perón,municipal,I,60189,Coronel Dorrego,59,-38.670481146508,-61.0956539726774
202,2015,0,Hospital Municipal de Oriente,municipal,I,60189,Coronel Dorrego,0,-38.670481146508,-61.0956539726774
203,2017,0,Hospital Municipal de Oriente,municipal,I,60189,Coronel Dorrego,9,-38.670481146508,-61.0956539726774
204,2014,113,Hospital Local Doctor Manuel Cabrera,municipal,I,60196,Coronel Pringles,253,-38.1477437843902,-61.2646589620305
205,2017,125,Hospital Municipal Doctor Cabrera,municipal,I,60196,Coronel Pringles,225,-38.1477437843902,-61.2646589620305
206,2016,105,Hospital Local Doctor Manuel Cabrera,Municipal,I,60196,Coronel Pringles,219,-38.1477437843902,-61.2646589620305
207,2015,56,Hospital Local Doctor Manuel Cabrera,municipal,I,60196,Coronel Pringles,104,-38.1477437843902,-61.2646589620305
208,2017,292,Hospital Municipal de Cnel. Suárez,municipal,I,60203,Coronel Suárez,406,-37.5325532169014,-61.8893137767698
209,2015,282,Hospital Local Municipal de Cnel. Suárez,municipal,I,60203,Coronel Suárez,404,-37.5325532169014,-61.8893137767698
210,2016,281,Hospital Local Municipal de Cnel. Suárez,Municipal,I,60203,Coronel Suárez,391,-37.5325532169014,-61.8893137767698
211,2014,307,Hospital Local Municipal de Cnel. Suárez,municipal,I,60203,Coronel Suárez,431,-37.5325532169014,-61.8893137767698
212,2014,21,Hospital Local de Huanguelén,municipal,I,60203,Coronel Suárez,33,-37.5325532169014,-61.8893137767698
213,2016,25,Hospital Municipal Lucero del Alba de Huanguelén,Municipal,I,60203,Coronel Suárez,29,-37.5325532169014,-61.8893137767698
214,2015,21,Hospital Local de Huanguelén,municipal,I,60203,Coronel Suárez,30,-37.5325532169014,-61.8893137767698
215,2017,21,Hospital Municipal Lucero del Alba de Huanguelén,municipal,I,60203,Coronel Suárez,27,-37.5325532169014,-61.8893137767698
216,2014,200,Hospital Doctor Pedro M. Romanazzi,municipal,II,60231,Daireaux,295,-36.6405459243249,-61.891417127905
217,2014,0,Hospital Municipal Salazar,municipal,II,60231,Daireaux,0,-36.6405459243249,-61.891417127905
